username;password;role
+79150000012;Rewq4321);base
+79150000012;Rewq4321);cards
+79150000012;Rewq4321);accounts
+79150000012;Rewq4321);deposits
+79260000001;Qwer1234);credit
+79150000012;Rewq4321);transfer
+79150000012;Rewq4321);payments
+79150000012;Rewq4321);limits
+79150000012;Rewq4321);templates
+79150000012;Rewq4321);auto
+79150000002;Rewq4321);depositOpen
+79150000001;Rewq4321);depositOpenNew
+79150000012;Rewq4321);historyDeposits
+79150000012;Rewq4321);message
+79150000012;12312312;nonPass
87777777777;Qwer1234;nonLog
89150000011;Rewq4321);temp
