username;password;role
+79260000012;Rewq4321);base
+79260000012;Rewq4321);cards
+79260000012;Rewq4321);accounts
+79260000012;Rewq4321);deposits
+79260000015;Qwer1234);credit
+79260000012;Rewq4321);transfer
+79260000012;Rewq4321);payments
+79260000012;Rewq4321);limits
+79260000012;Rewq4321);templates
+79260000012;Rewq4321);auto
+79260000012;Rewq4321);autopeyment
+79150000001;Rewq4321);depositOpen
+79260000012;Rewq4321);historyDeposits
+79260000012;Rewq4321);message
+79260000005;12312312;nonPass
87777777777;Qwer1234;nonLog
